"SEASON","DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF"
"2015-16",20160619,"GSW",89,17,42,15,41,10,13,7,32,22,7,10,5,23,"CLE",93,27,57,6,25,21,25,9,39,17,7,11,6,15
"2016-17",20170415,"CLE",109,31,50,11,28,14,27,10,24,26,7,11,2,19,"IND",108,29,57,11,24,17,20,12,29,21,6,13,1,25
"2016-17",20170415,"LAC",95,28,57,8,24,15,17,8,32,20,6,15,4,18,"UTA",97,30,60,8,19,13,19,6,28,21,7,12,4,19
"2016-17",20170415,"SAS",111,31,57,10,19,19,25,8,34,16,4,9,11,20,"MEM",82,24,59,7,20,13,17,8,27,17,7,8,6,20
"2016-17",20170415,"TOR",83,22,52,5,23,24,33,8,39,15,3,10,4,21,"MIL",97,29,62,9,23,12,15,9,34,22,5,5,5,23
"2016-17",20170416,"BOS",102,23,48,14,38,14,19,12,24,27,9,15,4,20,"CHI",106,31,65,8,26,20,23,20,33,22,10,16,7,18
"2016-17",20170416,"GSW",121,32,54,11,27,24,28,9,36,26,7,16,10,24,"POR",109,29,63,11,30,18,22,11,27,15,8,14,3,25
"2016-17",20170416,"HOU",118,35,58,10,33,18,26,14,42,21,8,11,3,19,"OKC",87,21,52,9,29,18,23,7,34,19,8,15,5,19
"2016-17",20170416,"WAS",114,37,72,8,28,16,17,15,27,28,8,12,9,25,"ATL",107,27,53,7,25,32,39,13,35,18,5,19,3,22
"2016-17",20170417,"CLE",117,29,45,13,31,20,23,7,30,19,6,18,8,16,"IND",111,35,64,8,20,17,23,9,24,23,14,13,3,21
"2016-17",20170417,"SAS",96,19,38,9,23,31,32,5,34,14,4,14,4,13,"MEM",82,24,55,7,27,13,15,9,26,19,8,8,1,22
"2016-17",20170418,"BOS",97,28,49,10,33,11,19,11,27,26,6,16,4,17,"CHI",111,35,64,10,25,11,14,12,32,28,12,10,6,17
"2016-17",20170418,"LAC",99,38,64,6,20,5,8,8,31,26,7,11,4,23,"UTA",91,22,45,10,25,17,22,3,30,15,7,13,2,16
"2016-17",20170418,"TOR",106,23,48,14,29,18,25,6,34,24,6,12,4,22,"MIL",100,25,64,11,23,17,19,12,28,20,6,11,4,16
"2016-17",20170419,"GSW",110,30,59,10,32,20,24,11,43,31,8,17,11,17,"POR",81,23,56,7,34,14,19,11,36,17,9,18,7,19
"2016-17",20170419,"HOU",115,27,49,11,29,28,37,5,32,20,5,13,8,21,"OKC",111,33,67,7,30,24,28,17,31,20,9,7,11,24
"2016-17",20170419,"WAS",109,32,64,7,22,24,33,11,32,22,10,11,10,29,"ATL",101,28,59,4,20,33,38,10,31,17,6,18,6,26
"2016-17",20170420,"IND",114,22,54,16,41,22,26,17,35,25,4,9,5,23,"CLE",119,18,43,21,44,20,30,8,32,23,6,8,7,23
"2016-17",20170420,"MEM",105,30,55,9,22,18,20,6,27,21,2,5,3,24,"SAS",94,24,48,10,24,16,28,12,30,16,1,12,3,21
"2016-17",20170420,"MIL",104,27,51,12,23,14,19,3,33,29,6,13,4,25,"TOR",77,18,49,6,22,23,30,9,31,11,6,15,4,21
"2016-17",20170421,"CHI",87,27,63,6,21,15,15,15,37,14,7,17,8,15,"BOS",104,24,49,17,37,5,7,7,30,34,11,12,2,12
"2016-17",20170421,"OKC",115,37,64,9,19,14,23,9,31,24,8,11,5,21,"HOU",113,28,48,10,35,27,33,11,31,10,4,13,6,24
"2016-17",20170421,"UTA",106,22,35,14,34,20,29,3,24,16,5,11,2,26,"LAC",111,34,56,7,19,22,33,9,32,16,8,8,3,20
"2016-17",20170422,"ATL",116,35,64,9,25,19,32,11,39,26,6,11,5,17,"WAS",98,30,60,7,29,17,20,6,36,16,6,15,4,28
"2016-17",20170422,"MEM",110,26,55,12,27,22,24,8,43,19,3,22,3,21,"SAS",108,32,67,9,30,17,17,8,29,16,11,9,3,24
"2016-17",20170422,"MIL",76,25,60,5,21,11,18,13,37,16,8,20,3,21,"TOR",87,28,58,5,22,16,17,4,37,16,11,12,6,19
"2016-17",20170422,"POR",113,26,57,13,33,22,27,11,41,17,5,16,6,23,"GSW",119,28,55,12,36,27,35,6,36,25,11,7,11,19
"2016-17",20170423,"CHI",95,27,52,5,24,26,33,12,32,19,5,12,3,23,"BOS",104,28,45,10,37,18,22,11,31,22,7,13,4,24
"2016-17",20170423,"IND",102,31,58,10,30,10,17,9,33,21,8,14,6,22,"CLE",106,28,59,9,31,23,27,15,33,11,9,13,8,15
"2016-17",20170423,"OKC",109,35,66,7,19,18,32,10,30,20,10,17,12,20,"HOU",113,26,50,11,35,28,33,13,32,19,13,19,2,26
"2016-17",20170423,"UTA",105,30,52,10,22,15,21,7,35,24,7,12,3,17,"LAC",98,22,43,11,32,21,29,6,25,17,8,9,0,18
"2016-17",20170424,"ATL",111,28,59,12,31,19,25,12,37,24,7,12,1,20,"WAS",101,25,53,11,32,18,23,9,37,19,7,14,5,25
"2016-17",20170424,"POR",103,20,46,13,39,24,29,7,32,14,7,11,3,20,"GSW",128,29,57,17,29,19,27,6,39,27,7,10,9,15
"2016-17",20170424,"TOR",118,29,44,12,27,24,26,5,35,28,10,17,6,24,"MIL",93,24,45,10,22,15,26,1,21,22,13,15,4,23
"2016-17",20170425,"HOU",105,27,45,6,37,33,39,10,37,13,7,12,6,23,"OKC",99,25,53,10,38,19,29,18,31,16,7,13,7,27
"2016-17",20170425,"LAC",92,19,46,10,23,24,29,3,31,16,7,13,2,20,"UTA",96,22,45,13,36,13,16,7,36,25,10,12,4,24
"2016-17",20170425,"SAS",116,28,52,14,28,18,22,10,24,23,7,7,2,17,"MEM",103,28,50,9,22,20,22,8,23,22,7,9,1,20
"2016-17",20170426,"BOS",108,29,48,9,40,23,23,8,30,27,9,6,3,16,"CHI",97,28,48,9,26,14,17,5,37,24,4,16,5,21
"2016-17",20170426,"WAS",103,30,58,7,24,22,27,9,33,21,8,6,10,20,"ATL",99,29,62,9,31,14,21,11,32,23,3,11,2,21
"2016-17",20170427,"MEM",96,20,44,12,27,20,24,7,21,15,4,11,1,26,"SAS",103,30,57,7,20,22,25,16,30,13,4,12,0,20
"2016-17",20170427,"MIL",89,25,57,7,18,18,28,11,26,18,11,14,10,20,"TOR",92,23,48,9,22,19,23,11,32,14,9,14,4,20
"2016-17",20170428,"ATL",99,28,46,9,32,16,19,11,24,26,9,22,3,22,"WAS",115,32,54,10,24,21,25,8,25,21,16,16,7,22
"2016-17",20170428,"CHI",83,28,62,4,19,15,17,11,34,13,5,13,2,16,"BOS",105,23,41,16,39,11,18,7,36,28,7,9,5,14
"2016-17",20170428,"UTA",93,25,52,7,26,22,33,10,28,18,8,7,5,20,"LAC",98,28,54,9,21,15,26,10,32,17,5,16,2,24
"2016-17",20170430,"BOS",123,27,51,19,39,12,15,12,26,32,8,11,7,25,"WAS",111,34,64,10,23,13,22,12,26,27,6,12,7,14
"2016-17",20170430,"LAC",91,29,55,6,25,15,26,10,28,17,3,10,2,19,"UTA",104,34,66,6,13,18,23,10,36,22,8,8,2,24
"2016-17",20170501,"CLE",116,25,51,14,34,24,29,7,39,26,8,12,4,18,"TOR",105,29,63,10,26,17,20,8,35,22,5,12,5,22
"2016-17",20170501,"SAS",99,22,55,9,29,28,36,11,34,19,10,15,2,18,"HOU",126,18,37,22,50,24,27,7,42,30,13,14,5,25
"2016-17",20170502,"BOS",129,32,52,13,36,26,34,12,29,26,11,16,7,21,"WAS",119,36,65,10,34,17,22,13,31,28,7,17,10,29
"2016-17",20170502,"GSW",106,33,53,7,29,19,21,5,32,32,7,7,8,16,"UTA",94,29,53,9,29,9,12,8,36,25,7,13,4,18
"2016-17",20170503,"CLE",125,23,42,18,33,25,34,6,34,28,9,16,4,22,"TOR",103,37,73,5,17,14,19,8,29,21,8,13,4,21
"2016-17",20170503,"SAS",121,39,65,9,24,16,18,16,32,27,5,7,7,16,"HOU",96,26,49,11,34,11,15,9,23,22,7,11,3,18
"2016-17",20170504,"GSW",115,28,54,14,31,17,20,9,38,33,11,17,4,20,"UTA",104,26,52,12,32,16,20,5,34,19,9,14,2,23
"2016-17",20170504,"WAS",116,35,67,8,25,22,25,13,37,26,7,9,5,26,"BOS",89,17,45,10,32,25,33,8,30,20,4,16,2,26
"2016-17",20170505,"HOU",92,20,49,12,39,16,18,14,25,17,12,14,7,18,"SAS",103,30,61,9,25,16,20,12,37,23,7,20,8,17
"2016-17",20170505,"TOR",94,36,69,2,18,16,17,1,24,17,9,4,4,21,"CLE",115,26,53,13,23,24,28,8,41,15,2,16,7,20
"2016-17",20170506,"UTA",91,23,55,7,22,24,34,5,37,19,6,8,3,22,"GSW",102,28,54,9,30,19,23,8,43,17,3,7,4,20
"2016-17",20170507,"HOU",125,31,52,19,43,6,10,7,34,28,7,9,3,17,"SAS",104,37,66,7,23,9,18,11,32,23,8,14,6,13
"2016-17",20170507,"TOR",102,30,56,10,29,12,15,8,29,28,7,11,3,18,"CLE",109,23,41,16,41,15,16,5,32,24,8,10,5,11
"2016-17",20170507,"WAS",121,35,63,9,21,24,27,12,33,29,13,19,3,22,"BOS",102,21,48,14,31,18,24,9,22,28,13,18,6,25
"2016-17",20170508,"UTA",95,25,62,8,27,21,28,10,32,13,7,9,4,23,"GSW",121,32,58,11,26,24,27,6,44,28,8,11,3,26
"2016-17",20170509,"SAS",110,31,70,11,33,15,23,18,34,24,7,7,5,18,"HOU",107,22,38,16,48,15,21,9,38,21,4,15,5,23
"2016-17",20170510,"BOS",123,30,54,16,33,15,21,9,39,33,7,11,8,25,"WAS",101,28,62,7,29,24,29,16,29,21,5,12,5,18
"2016-17",20170511,"HOU",75,9,37,13,40,18,25,10,27,14,5,13,3,16,"SAS",114,46,74,5,22,7,13,14,46,32,8,7,9,21
"2016-17",20170512,"WAS",92,32,62,5,24,13,21,11,35,20,4,12,7,24,"BOS",91,21,44,11,35,16,18,7,30,25,5,10,3,19
"2016-17",20170514,"GSW",113,28,51,11,30,24,33,17,26,22,13,19,8,24,"SAS",111,33,62,7,22,24,28,14,23,19,13,17,3,24
"2016-17",20170515,"BOS",115,31,55,11,24,20,25,4,27,27,7,8,4,24,"WAS",105,26,51,10,29,23,29,10,33,18,6,15,4,17
"2016-17",20170516,"GSW",136,32,52,18,37,18,19,6,34,39,16,16,5,19,"SAS",100,29,77,8,23,18,21,22,27,21,11,18,5,17
"2016-17",20170517,"BOS",104,29,50,12,38,10,18,13,27,33,4,14,1,26,"CLE",117,28,50,11,31,28,35,12,32,21,9,8,2,17
"2016-17",20170519,"BOS",86,24,59,8,27,14,15,10,29,23,7,20,4,19,"CLE",130,29,46,19,39,15,23,9,36,28,10,12,6,17
"2016-17",20170520,"SAS",108,39,72,5,21,15,25,15,31,22,10,15,3,21,"GSW",120,35,57,11,27,17,22,9,33,23,12,21,6,23
"2016-17",20170521,"CLE",108,16,31,16,39,28,36,11,35,21,5,15,4,11,"BOS",111,24,51,18,40,9,12,11,27,28,10,9,3,23
"2016-17",20170522,"SAS",115,33,73,8,25,25,32,12,30,33,14,8,4,20,"GSW",129,34,47,14,39,19,25,5,48,30,7,17,3,25
"2016-17",20170523,"CLE",112,34,52,10,22,14,17,4,33,23,5,14,4,16,"BOS",99,25,48,10,31,19,20,7,22,26,7,12,2,15
"2016-17",20170525,"BOS",102,26,56,11,30,17,23,12,27,20,7,18,5,23,"CLE",135,29,44,19,41,20,24,6,32,24,13,11,5,21
"2016-17",20170601,"GSW",113,33,73,12,33,11,16,14,36,31,12,4,3,24,"CLE",91,19,55,11,31,20,25,15,44,15,0,20,6,23
"2016-17",20170604,"GSW",132,28,46,18,43,22,24,10,43,34,5,20,7,19,"CLE",113,37,71,8,29,15,19,10,31,27,15,9,1,18
"2016-17",20170607,"CLE",113,28,46,12,44,21,25,10,27,17,9,12,3,25,"GSW",118,24,50,16,33,22,24,8,36,29,8,18,4,28
"2016-17",20170609,"CLE",137,22,42,24,45,21,31,11,30,27,6,11,3,24,"GSW",116,28,48,11,39,27,36,16,24,26,5,12,6,27
"2016-17",20170612,"GSW",129,32,52,14,38,23,28,13,29,27,8,13,2,24,"CLE",120,36,64,11,24,15,23,12,28,22,6,14,5,22
