"SEASON","DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF"
"2014-15",20150502,"LAC",111,26,49,14,27,17,25,7,36,26,6,12,7,21,"SAS",109,33,64,10,25,13,20,13,33,26,7,10,6,23
"2014-15",20150503,"ATL",98,24,60,13,38,11,14,16,36,27,3,11,6,18,"WAS",104,29,66,9,25,19,22,15,39,18,4,6,4,19
"2014-15",20150503,"GSW",101,26,49,13,28,10,15,7,32,26,13,15,2,20,"MEM",86,30,61,3,12,17,22,7,30,24,13,15,0,16
"2014-15",20150504,"CLE",92,27,55,7,26,17,19,11,28,17,6,9,6,16,"CHI",99,30,62,10,18,9,16,11,31,23,7,10,6,15
"2014-15",20150504,"HOU",101,27,51,11,33,14,24,6,29,24,14,23,8,25,"LAC",117,28,53,13,31,22,30,9,33,31,14,21,6,22
"2014-15",20150505,"ATL",106,27,56,10,29,22,25,11,33,30,10,10,6,16,"WAS",90,23,60,12,22,8,14,7,33,21,9,16,1,21
"2014-15",20150505,"GSW",90,25,48,6,26,22,28,9,36,16,6,20,3,18,"MEM",97,32,68,5,15,18,20,8,31,19,13,13,2,21
"2014-15",20150506,"CLE",106,25,57,12,26,20,29,14,31,19,8,8,4,23,"CHI",91,25,57,7,22,20,25,11,26,20,7,12,4,20
"2014-15",20150506,"HOU",115,29,54,5,26,42,64,15,39,20,6,14,10,27,"LAC",109,33,61,6,25,25,32,6,34,20,9,11,4,40
"2014-15",20150508,"CHI",99,28,69,6,21,25,29,18,36,17,9,7,10,18,"CLE",96,18,48,14,34,18,19,9,30,23,6,11,9,24
"2014-15",20150508,"LAC",124,33,54,13,29,19,23,12,38,26,12,18,6,27,"HOU",99,24,55,11,33,18,31,16,27,21,8,15,5,18
"2014-15",20150509,"MEM",99,32,66,5,16,20,23,11,33,21,10,14,2,26,"GSW",89,26,48,6,26,19,28,10,29,20,7,17,7,23
"2014-15",20150509,"WAS",103,27,50,10,28,19,29,9,34,27,5,13,5,24,"ATL",101,29,58,7,23,22,29,8,30,23,10,10,3,26
"2014-15",20150510,"CHI",84,23,68,9,21,11,12,11,29,12,7,8,6,19,"CLE",86,24,50,5,25,23,24,6,38,16,4,15,6,16
